IDA* on non-unit STP problem 0
(4x4)14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 45.0 | 0 expanded | 0 generated
F bound current: 50.534498834498834 | 45 expanded | 118 generated
F bound current: 50.55949883449883 | 55 expanded | 144 generated
F bound current: 50.62199883449883 | 66 expanded | 174 generated
F bound current: 50.67060994560995 | 83 expanded | 223 generated
F bound current: 50.70235597735598 | 101 expanded | 275 generated
F bound current: 50.70533216783217 | 132 expanded | 365 generated
F bound current: 50.75394327894328 | 164 expanded | 458 generated
F bound current: 50.77060994560995 | 197 expanded | 554 generated
F bound current: 50.77676073926074 | 231 expanded | 652 generated
F bound current: 50.79326506826507 | 266 expanded | 752 generated
F bound current: 50.81644327894328 | 302 expanded | 855 generated
F bound current: 50.82537185037185 | 339 expanded | 961 generated
F bound current: 50.91644327894328 | 377 expanded | 1069 generated
F bound current: 51.0625 | 416 expanded | 1179 generated
F bound current: 51.07821067821068 | 481 expanded | 1369 generated
F bound current: 51.083766233766234 | 547 expanded | 1562 generated
F bound current: 51.115710678210675 | 614 expanded | 1758 generated
F bound current: 51.12682178932179 | 682 expanded | 1956 generated
F bound current: 51.145833333333336 | 751 expanded | 2158 generated
F bound current: 51.14963924963925 | 821 expanded | 2363 generated
F bound current: 51.154761904761905 | 892 expanded | 2570 generated
F bound current: 51.15856782106782 | 964 expanded | 2780 generated
F bound current: 51.210155122655124 | 1037 expanded | 2994 generated
F bound current: 51.217261904761905 | 1111 expanded | 3211 generated
F bound current: 51.2504329004329 | 1186 expanded | 3430 generated
F bound current: 51.25694444444444 | 1262 expanded | 3651 generated
F bound current: 51.26571067821068 | 1339 expanded | 3875 generated
F bound current: 51.26587301587301 | 1417 expanded | 4103 generated
F bound current: 51.27821067821068 | 1496 expanded | 4334 generated
F bound current: 51.310155122655125 | 1576 expanded | 4568 generated
F bound current: 51.32735597735598 | 1657 expanded | 4804 generated
F bound current: 51.34904401154401 | 1741 expanded | 5048 generated
F bound current: 51.356944444444444 | 1826 expanded | 5296 generated
F bound current: 51.365873015873014 | 1912 expanded | 5546 generated
F bound current: 51.41154401154401 | 1999 expanded | 5798 generated
F bound current: 51.44487734487734 | 2087 expanded | 6053 generated
F bound current: 51.45 | 2176 expanded | 6310 generated
F bound current: 51.460155122655124 | 2266 expanded | 6571 generated
F bound current: 51.482972582972586 | 2361 expanded | 6847 generated
F bound current: 51.491901154401155 | 2457 expanded | 7125 generated
F bound current: 51.5125 | 2554 expanded | 7407 generated
F bound current: 51.52180042180042 | 2652 expanded | 7693 generated
F bound current: 51.53158369408369 | 2753 expanded | 7987 generated
F bound current: 51.55106421356422 | 2856 expanded | 8285 generated
F bound current: 51.59285714285714 | 2960 expanded | 8586 generated
F bound current: 51.59583333333333 | 3069 expanded | 8902 generated
F bound current: 51.59904401154401 | 3179 expanded | 9221 generated
F bound current: 51.60301226551226 | 3292 expanded | 9549 generated
F bound current: 51.61154401154401 | 3406 expanded | 9881 generated
F bound current: 51.6672619047619 | 3521 expanded | 10216 generated
F bound current: 51.683766233766235 | 3637 expanded | 10553 generated
F bound current: 51.6899531024531 | 3754 expanded | 10892 generated
F bound current: 51.69358974358974 | 3872 expanded | 11234 generated
F bound current: 51.706944444444446 | 3991 expanded | 11580 generated
F bound current: 51.708766233766234 | 4111 expanded | 11929 generated
F bound current: 51.71412337662338 | 4232 expanded | 12282 generated
F bound current: 51.741901154401155 | 4354 expanded | 12639 generated
F bound current: 51.75608974358974 | 4477 expanded | 13000 generated
F bound current: 51.771266233766234 | 4601 expanded | 13365 generated
F bound current: 51.77662337662338 | 4726 expanded | 13734 generated
F bound current: 51.778210678210684 | 4852 expanded | 14106 generated
F bound current: 51.80694444444444 | 4979 expanded | 14480 generated
F bound current: 51.81987734487734 | 5107 expanded | 14856 generated
F bound current: 51.836446886446886 | 5236 expanded | 15235 generated
F bound current: 51.839423076923076 | 5371 expanded | 15632 generated
F bound current: 51.848051948051946 | 5507 expanded | 16032 generated
F bound current: 51.84818931068931 | 5644 expanded | 16434 generated
F bound current: 51.85459956709957 | 5784 expanded | 16847 generated
F bound current: 51.85513375513376 | 5925 expanded | 17263 generated
F bound current: 51.86025641025641 | 6069 expanded | 17687 generated
F bound current: 51.862907925407924 | 6214 expanded | 18114 generated
F bound current: 51.865613553113555 | 6360 expanded | 18544 generated
F bound current: 51.90321067821068 | 6507 expanded | 18977 generated
F bound current: 51.91068931068931 | 6655 expanded | 19413 generated
F bound current: 51.910851648351645 | 6804 expanded | 19853 generated
F bound current: 51.91412337662338 | 6954 expanded | 20295 generated
F bound current: 51.91978021978022 | 7105 expanded | 20741 generated
F bound current: 51.91987734487734 | 7265 expanded | 21215 generated
F bound current: 51.92602813852814 | 7426 expanded | 21691 generated
F bound current: 51.92735597735597 | 7588 expanded | 22169 generated
F bound current: 51.94326506826506 | 7751 expanded | 22649 generated
F bound current: 51.95053418803419 | 7915 expanded | 23132 generated
F bound current: 51.95235597735598 | 8080 expanded | 23618 generated
F bound current: 51.96571067821068 | 8246 expanded | 24108 generated
F bound current: 51.97463924963925 | 8413 expanded | 24601 generated
F bound current: 51.97662337662338 | 8581 expanded | 25096 generated
F bound current: 52.01485597735598 | 8750 expanded | 25594 generated
F bound current: 52.02180042180042 | 8924 expanded | 26108 generated
F bound current: 52.03228021978022 | 9099 expanded | 26625 generated
F bound current: 52.04209956709957 | 9275 expanded | 27144 generated
F bound current: 52.05053418803419 | 9454 expanded | 27672 generated
F bound current: 52.063467088467085 | 9634 expanded | 28202 generated
Interrupted


